favorites,id,positive,negative,sentiment
122000,1.10513E+18,1,0,positive
186000,1.10511E+18,0,0,neutral
106000,1.10511E+18,0,1,negative
101000,1.10489E+18,0,1,negative
124000,1.10471E+18,1,0,positive
137000,1.10471E+18,1,0,positive
124000,1.1046E+18,1,0,positive
72000,1.1046E+18,0,0,neutral
77000,1.10451E+18,0,0,neutral
57000,1.10451E+18,0,0,neutral
91000,1.10451E+18,1,0,positive
98000,1.1045E+18,1,0,positive
103000,1.1045E+18,1,0,positive
132000,1.10438E+18,1,0,positive
81000,1.10419E+18,0,0,neutral
71000,1.10416E+18,0,1,negative
99000,1.10416E+18,1,0,positive
46000,1.10412E+18,0,0,neutral
81000,1.10412E+18,1,0,positive
63000,1.10409E+18,1,0,positive
72000,1.10409E+18,1,0,positive
81000,1.10405E+18,0,1,negative
75000,1.10403E+18,1,0,positive
54000,1.10402E+18,1,0,positive
76000,1.10402E+18,1,0,positive
81000,1.10402E+18,1,0,positive
65000,1.10401E+18,1,0,positive
71000,1.10401E+18,0,1,negative
85000,1.104E+18,0,0,neutral
142000,1.104E+18,1,0,positive
50000,1.104E+18,1,0,positive
110000,1.10399E+18,0,1,negative
81000,1.10379E+18,0,0,neutral
127000,1.10367E+18,1,0,positive
105000,1.10366E+18,0,1,negative
184000,1.10345E+18,1,0,positive
107000,1.10345E+18,1,0,positive
100000,1.10344E+18,0,1,negative
48000,1.10342E+18,0,0,neutral
118000,1.10338E+18,0,0,neutral
124000,1.10335E+18,0,1,negative
65000,1.10316E+18,0,0,neutral
106000,1.10315E+18,0,1,negative
169000,1.10306E+18,0,1,negative
73000,1.10304E+18,1,0,positive
68000,1.10304E+18,0,0,neutral
102000,1.10302E+18,1,0,positive
63000,1.10301E+18,1,0,positive
161000,1.10294E+18,1,0,positive
116000,1.10293E+18,0,0,neutral
106000,1.10293E+18,1,0,positive
119000,1.10292E+18,1,0,positive
104000,1.10292E+18,0,1,negative
4900,1.10279E+18,0,1,negative
123000,1.10279E+18,0,1,negative
114000,1.10278E+18,1,0,positive
74000,1.10275E+18,0,1,negative
96000,1.10275E+18,0,1,negative
63000,1.10275E+18,0,0,neutral
84000,1.10266E+18,0,1,negative
103000,1.10266E+18,0,1,negative
88000,1.10266E+18,1,0,positive
78000,1.1026E+18,1,0,positive
105000,1.10241E+18,1,0,positive
70000,1.10238E+18,0,1,negative
72000,1.10238E+18,1,0,positive
98000,1.10237E+18,1,0,positive
115000,1.10236E+18,1,0,positive
101000,1.10236E+18,1,0,positive
119000,1.1023E+18,1,0,positive
89000,1.1023E+18,1,0,positive
89000,1.10229E+18,0,1,negative
88000,1.10224E+18,1,0,positive
123000,1.10223E+18,0,1,negative
72000,1.10202E+18,0,0,neutral
169000,1.10201E+18,1,0,positive
75000,1.102E+18,0,1,negative
102000,1.102E+18,1,0,positive
81000,1.10188E+18,0,0,neutral
6900,1.10187E+18,0,0,neutral
76000,1.10184E+18,1,0,positive
61000,1.10184E+18,1,0,positive
105000,1.10162E+18,1,0,positive
124000,1.10162E+18,1,0,positive
108000,1.10159E+18,1,0,positive
123000,1.10159E+18,1,0,positive
95000,1.10148E+18,0,0,neutral
122000,1.10147E+18,0,1,negative
125000,1.10147E+18,0,0,neutral
84000,1.10147E+18,1,0,positive
82000,1.10147E+18,1,0,positive
93000,1.10146E+18,1,0,positive
93000,1.10134E+18,1,0,positive
53000,1.10133E+18,0,0,neutral
52000,1.10133E+18,0,0,neutral
62000,1.10129E+18,1,0,positive
75000,1.10129E+18,1,0,positive
141000,1.10107E+18,1,0,positive
